Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
10250,712561,451669,149524,266955,267577,118024,112888,351452850,555144,269110,64494,110869868,239587,96472046,142197,400627151,158596,956597378,60838,892166211,500666304
10500,664384,482421,151452,267792,249260,113990,104464,346242583,604152,284064,55634,114023968,237087,87390809,131119,363757176,158340,958291345,62002,867940650,453564265
10750,707927,475190,161145,274517,296534,118313,105372,446238374,558080,178618,54682,189653950,234789,138676728,130094,495994414,4296701,871263406,60805,1355990328,527663577
11000,722220,528231,157030,264501,261899,114369,105549,457588267,421883,173627,54738,183801654,228840,108483558,125369,490919195,202616,1699633153,63544,973724404,640543028
11250,647379,552660,146547,262114,256721,117545,104964,399423423,440260,175111,54131,206700225,239814,146041695,138050,485378880,192941,1381323966,61292,696994786,684586609
11500,636180,565456,168005,266609,265897,139020,102589,403707608,500609,200393,54546,171946148,232934,131599501,130313,401897103,176154,1344857035,57489,769992903,509539987
11750,628139,463487,146782,261302,247801,106867,105937,424619924,612356,251727,85192,152516219,260603,136399998,126158,437992566,163259,1331133671,58024,782939174,855699094
12000,622929,471901,160064,258018,255802,96092,103768,609418370,621569,252564,53760,165251339,243312,155799236,125750,428376628,166169,1527613702,63264,745828427,662480603
12250,638080,499358,148836,252579,278053,87446,108300,677572241,610917,258300,53153,124985676,245034,141757357,130337,524550380,158783,2251330328,39291,767988915,561070993
12500,659374,484970,155687,252051,255690,87503,106584,598527332,595797,284276,54655,97618900,243734,144548897,122643,522267222,161085,1623881363,37943,930688677,572363275
12750,758165,604960,151082,312000,247778,89333,110398,684249797,566954,200336,53726,98118278,237826,213781621,129060,457425950,156320,1348600199,38640,961273686,714117731
13000,685286,464210,146410,261706,265914,76349,106500,544939817,2626225,211124,55642,206115573,255582,228540295,121544,431835980,154563,1593748016,38546,838152724,793412585
13250,649126,504547,146252,298507,253821,87217,117619,427495417,518989,183061,32588,247092798,243902,338871030,119814,557111178,149523,1466508031,42802,730461252,550070175
13500,640773,467860,179229,273278,256528,82525,125607,412028037,488025,225739,32696,148473735,238926,352675551,119896,569184360,159479,1784718359,45835,933231121,654535897
13750,645713,522742,207721,258382,259617,79448,120806,438589959,534914,235992,34694,134836064,253412,267146093,118236,679387135,154726,1594562654,50720,887182817,706821529
14000,695161,594997,160670,259709,257758,85104,118977,492149294,576639,241047,33884,149279049,260054,169075689,105924,550416849,162673,1820085288,43211,881350168,935379484
14250,651419,582412,149973,250276,260978,79128,111834,513839913,465434,284213,35414,106492499,241905,173697887,107691,724605024,219289,1704705809,37316,939320463,721913339
14500,676119,486819,146810,265792,260357,78540,121913,433269828,495412,320625,34617,125518878,280186,183504992,112609,1421058865,173355,1702884318,38268,936960479,886681473
14750,657954,495165,147351,259010,255802,70843,116464,440953564,527214,306140,32602,157336696,256825,177188081,117602,551031795,198774,1703741176,39762,939654365,1477546637
15000,655323,491559,175917,328927,285114,77280,116414,449376044,569596,326348,33562,313786055,244396,172133933,117297,741291769,219084,1666262297,59228,1048452429,1036156740
15250,696932,567695,153017,260040,264364,66709,121855,455996005,598711,242698,33471,199084707,247511,184196952,111326,829215737,221807,1743251451,44368,1143928488,1071014635
15500,693954,730430,160078,248203,252771,80053,124636,636613283,488060,231380,37155,216921823,253883,201054294,110623,537667673,206736,1642814748,46984,1105946548,1294110868
15750,643447,695789,222637,285415,253887,70113,119275,519191123,458165,308530,32509,160227555,241811,221075857,114304,534311989,204422,1804806243,38727,2053759876,904280399
16000,638909,500410,253618,271194,259647,74914,120118,520698167,408301,317295,32230,126915606,251596,174133192,123980,553435885,188401,1909052568,35749,1654616980,946145655
16250,647174,503032,196271,263344,255626,71136,121205,555898666,447882,327132,34494,173132549,249119,199139034,127496,605113464,232788,1922139853,42397,1187669114,784283957
16500,724592,535731,167507,261137,257893,75199,114317,686275888,480912,310610,39229,236421229,273204,383586090,121167,551436012,46572156,1949437566,43057,1071612014,661400745
16750,653955,617831,165583,257415,269668,70212,129357,567795302,501201,306028,40356,206026878,256477,495660808,130987,568585595,201869,1898715729,37426,1165872490,937300302
17000,641311,535645,215168,261229,259129,71269,116663,611097186,478342,334330,38874,215672246,239857,330510903,125332,621745388,196751,2178710186,37154,1413863095,778239478
17250,626715,668343,220758,249037,258784,85075,121099,634999373,537072,313602,32386,165042503,245219,318270077,127081,630775727,187900,2424927628,36744,1265532734,730641347
17500,695506,559280,210586,256214,267488,81002,119763,824737690,548303,284154,32827,165844704,234313,254195858,116115,602992311,192818,2345617151,44650,1557073268,1033332729
17750,679352,531333,205882,248049,251286,67218,109254,637897980,523264,292196,33874,188842104,245357,198899489,111640,630784782,197208,2035855107,37959,1720687478,569041838
18000,641551,527444,217514,251444,257659,71838,122204,602064003,534615,294112,35767,226127937,239643,157160585,121506,714362816,188280,2651501965,37766,1891068547,498785144
18250,691269,535458,188478,272587,258528,72169,116485,690163122,544139,297815,34154,258486176,253576,163733117,113257,704312110,200575,1759478540,38337,2524113511,1135026001
18500,677804,531564,170933,251348,251096,75386,116607,688519296,467343,303421,34609,209354043,252236,187364949,107438,656591192,196502,2490560189,37715,2675281715,701187285
18750,675874,624602,204613,256043,257731,68988,129220,740742637,413953,1514280,37122,195900996,261820,213482935,114820,650904464,197602,3610552382,41209,2807424505,633283547
19000,674713,572045,201109,256952,260209,67526,122976,673310260,399535,223284,33965,143802459,255202,285137511,114172,694884856,8422253,2463232060,35870,3066732397,910905475
19250,664867,872575,202510,251601,274102,71006,119614,789156957,395037,215269,32278,164725155,246232,217860318,127512,667965445,233926,2534722225,38186,2604830631,1108737974
19500,654610,654483,218299,251173,247676,84321,120650,942988669,399281,216518,33389,211960574,246583,192297541,114867,776633991,255841,2603007620,35808,2832123887,764501054
